Ella,03.10.2024,12.45,Walter
Oscar,23.03.2024,10.48,Kopierkosten
Isabel,15.09.2024,18.89,Walter
Lena,08.12.2023,16.8,Bücher
Leon,12.10.2024,19.75,Kino
Jana,29.09.2024,38.85,Werkstatt
Emma,26.10.2023,10.3,Walter
Mila,09.09.2024,30.37,Bus
Julia,15.06.2024,41.38,Werkstatt
Finn,23.10.2024,9.67,Kino
Mila,17.01.2024,25.64,Kopierkosten
Ella,09.11.2024,12.54,Werkstatt
leNa,22.08.2024,2.8,Kopierkosten
Amelia,18.02.2024,21.86,Kino
Luca,26.11.2024,5.67,Bus
Emma,06.11.2024,11.37,Kopierkosten
Liam,11.11.2023,41.16,Bus
Isabella,28.05.2024,15.5,Kino
LeNa,26.09.2024,6.89,Kino
Leon,11.02.2024,27.33,Kopierkosten
Timo,25.11.2023,5.0,Walter
Jonas,26.02.2024,36.22,Kopierkosten
Lena,18.09.2023,13.0,Werkstatt
Alexander,26.12.2023,5.67,Werkstatt
Oscar,27.10.2023,6.87,Bücher
LeNa,30.08.2024,2.69,Bus
Paul,28.09.2024,4.23,Bus
Simon,06.07.2024,31.2,Kino
Ella,05.04.2024,38.4,Kopierkosten
Maximilian,21.09.2023,3.0,Bus
lEna,08.10.2024,22.67,Bus
Jonas,17.07.2024,14.27,Walter
Emma,27.09.2024,28.96,Bus
Tim,27.08.2024,5.02,Kopierkosten
Felix,18.09.2024,12.89,Bus
Lars,04.11.2023,5.92,Kopierkosten
Paul,26.08.2024,39.99,Walter
Tim,05.09.2024,26.32,Kopierkosten
Ella,22.02.2024,18.01,Werkstatt
Emily,03.11.2024,6.78,Werkstatt
Jana,20.10.2023,11.9,Bücher
Finn,08.11.2024,11.23,Kino
Julia,06.10.2024,39.21,Kino
Isabella,10.10.2023,3.49,Kino
Lena,16.09.2024,11.78,Bücher
David,27.10.2024,19.34,Kopierkosten
Jonas,20.06.2024,38.61,Kino
Janina,11.05.2024,24.83,Walter
lena,08.01.2024,19.74,Walter
lena,24.11.2023,11.0,Bus
Simon,10.11.2024,12.45,Bücher
Sophia,12.09.2023,9.84,Kopierkosten
Hannah,08.10.2024,4.36,Kopierkosten
lEna,14.03.2024,17.75,Bus
Emma,22.11.2024,7.84,Kino
Leon,11.09.2023,35.05,Kino
Leonie,26.04.2024,35.25,Bücher
David,14.09.2024,15.21,Werkstatt
Hanna,28.09.2024,16.98,Kopierkosten
Alexander,20.04.2024,41.2,Walter
LENA,05.07.2024,36.71,Kino
Ella,03.10.2024,12.45,Walter
Leena,22.06.2024,15.28,Walter
lEna,18.09.2024,21.13,Walter
Lena,26.10.2024,6.78,Kino
Ben,01.09.2024,8.06,Bus
Jan,25.07.2024,26.47,Bücher
Laura,23.09.2023,27.8,Kino
Vincent,27.11.2024,38.87,Kino
Lena,26.02.2024,6.87,Werkstatt
Jan,14.08.2024,15.84,Kopierkosten
Paul,14.11.2024,11.92,Walter
Emilia,22.05.2024,15.52,Werkstatt
Adrian,02.11.2023,5.1,Kino
Liam,20.09.2024,13.27,Kino
Benjamin,11.03.2024,31.03,Bus
David,24.10.2024,16.89,Kino
Jan,30.11.2024,2.56,Walter
David,27.10.2024,19.34,Kopierkosten
Timothy,01.03.2024,27.25,Bücher
Lena,03.03.2024,8.41,Bücher
Mila,04.11.2023,30.35,Bus
lena,17.06.2024,12.82,Bücher
Jan,21.07.2024,12.02,Bücher
Janina,30.10.2023,5.3,Werkstatt
Nico,01.04.2024,16.97,Bus
Lukas,10.04.2024,12.34,Bücher
Sophie,02.11.2024,5.62,Kopierkosten
Luca,04.03.2024,40.99,Kopierkosten
Max,20.10.2024,18.32,Bus
Emily,23.10.2024,7.89,Bus
Finn,04.09.2024,10.14,Bus
Laura,02.04.2024,6.33,Kopierkosten
Hannah,06.10.2024,6.78,Kopierkosten
Benjamin,25.11.2024,15.78,Werkstatt
Emilia,27.08.2024,15.41,Bus
Marius,18.11.2024,18.32,Kopierkosten
Mila,10.09.2024,18.92,Walter
Emma,21.11.2024,7.34,Bus
Lea,28.02.2024,25.2,Bus
Hannah,08.10.2024,4.36,Kopierkosten
Mila,16.11.2024,14.83,Kopierkosten
lena,25.10.2024,16.14,Kino
Luca,02.05.2024,7.31,Kopierkosten
Clara,11.10.2024,13.76,Werkstatt
Isabel,20.03.2024,29.05,Bücher
Julia,22.11.2023,30.35,Bücher
Sarah,15.09.2023,33.2,Werkstatt
Sarah,23.12.2023,36.49,Werkstatt
Emma,22.10.2024,7.45,Bus
Liam,23.10.2024,21.56,Kino
Felix,24.10.2023,21.4,Bus
Leon,12.10.2024,19.75,Kino
Nina,27.07.2024,39.76,Bus
LeNa,21.10.2024,22.06,Kopierkosten
